ID,Sample_Type,Image_Path,Text_Content,GT_Final_Label,GT_Ch1_Tamper,GT_Ch2_Mismatch,GT_Ch3_Logic,Tamper_Method,Meta_Time,Meta_Weather,Meta_Location,Meta_Fact,Meta_Topic,Meta_Object,Source_Note,,
1,Tamper_AIGC,data/images/TA_001.jpg,有一架飞机在天空上飞行,,1,1,0,AIGC,,,,,,,AIGC生成了飞机,,
2,Tamper_AIGC,data/images/TA_002.jpg,一个老头在喂奶牛，背后还有一辆红色的小汽车,1,1,1,0,AIGC,,,,,,,AIGC生成红色的卡车,,
3,Tamper_AIGC,data/images/TA_003.jpg,两只小狗在打闹,1,1,1,0,AIGC,,,,,,,AIGC生成了左边的狗,,
4,Tamper_AIGC,data/images/TA_004.jpg,两只牛在吃草,,1,1,0,AIGC,,,,,,,草地上的两只牛是aigc生成的,,
5,Tamper_AIGC,data/images/TA_005.jpg,两个小孩在草地上玩,,1,1,0,AIGC,,,,,,,草地上的两个孩子是aigc生成的,,
6,Tamper_PS,data/images/TP_001.jpg,布满银杏叶的大道,,1,1,0,PS,,,,,,,一只狗被P掉了,,
7,Tamper_PS,data/images/TP_002.jpg,一位奶奶在带两个小孩摘苹果,,1,1,0,PS,,,,,,,三个人做的卡车被p掉了,,
8,Tamper_PS,data/images/TP_003.jpg,一队情侣在笑,,1,1,0,PS,,,,,,,男孩和女孩手上的手镯被p掉了,,
9,Tamper_PS,data/images/TP_004.jpg,两件衣服,,1,1,0,PS,,,,,,,右边的衣服的挂包被p掉了,,
10,Tamper_PS,data/images/TP_005.jpg,图片上标注了两件衣服的价格,,1,1,0,PS,,,,,,,图片上的文字是p的,,
11,Tamper_PS,data/images/TP_006.jpg,夜晚的长城,,1,1,0,PS,,,,,,,月亮被P掉了,,
12,Tamper_PS,data/images/TP_007.jpg,一个女孩在拍照,,1,1,0,PS,,,,,,,女孩是P上去的,,
13,Tamper_PS,data/images/TP_008.jpg,一位男孩在海边拍照,,1,1,0,PS,,,,,,,男孩是P上去的,,
14,,,,,1,1,0,PS,,,,,,,,,
15,,,,,1,1,0,PS,,,,,,,,,
16,,,,,1,1,0,PS,,,,,,,,,
17,,,,,1,1,0,PS,,,,,,,,,
18,,,,,1,1,0,PS,,,,,,,,,
19,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,
25,Mismatch,data/images/M_panda_001.jpg,图中是一只老虎,,,1,,,,,,,,,图中是熊猫，描述为老虎,,
26,Mismatch,data/images/M_forestfire_002.jpg,图中是一片湖泊,,,1,,,,,,,,,图中是山火，描述为湖泊,,
27,Mismatch,data/images/M_park_003.jpg,图中是一座火山,,,1,,,,,,,,,图中是公园描述为火山,,
28,Mismatch,data/images/M_spaceman004.jpg,图中是一名足球运动员,,,1,,,,,,,,,图中为太空人描述为足球运动员,,
29,Mismatch,data/images/M_dessert005.jpg,图中是一片太空,,,1,,,,,,,,,图中是沙漠描述为太空,,
30,Mismatch,data/images/M_jet006.jpg,图中是一只小鸟,,,1,,,,,,,,,图中是战斗机描述为小鸟,,
31,Real,data/images/R_xizang_001.jpg,夜晚西藏人民在拉萨西藏自治区参加藏族传统声乐演唱人才培训教学成果汇报音乐会。,,,,,,,,,,,,,,
32,Real,data/images/R_work_002.jpg,黄衣女工人在检查钢卷,,,,,,,,,,,,,,
33,Real,data/images/R_eason_003.jpg,海面上杂乱的货船,,,,,,,,,,,,,,
34,Real,data/images/R_changcheng_004.jpg,深夜月下长城,,,,,,,,,,,,,,
35,Real,data/images/R_light_005.jpg,第三届青海丹噶尔双宁双灯展大门,,,,,,,,,,,,,,
36,Real,data/images/R_fireshow_006.jpg,金门桥烟花秀,,,,,,,,,,,,,,
37,Real,data/images/R_mall_007.jpg,海南省海口市秀英区海色路5号的cdf海口国际免税城,,,,,,,,,,,,,,
38,Real,data/images/R_ice_008.jpg,黄衣参赛者在哈尔滨国际冰雕比赛刻方形冰雕,,,,,,,,,,,,,,
39,Real,data/images/R_cunchao_009.jpg,红衣小朋友们在村超村晚比赛表演,,,,,,,,,,,,,,
40,Real,data/images/R_sheep_010.jpg,老人在草地赶羊群,,,,,,,,,,,,,,
41,Logic_Trap,data/images/LW_001.jpg,一艘船停在满是草的岸边,1,0,0,1,None,Day,Snow,Street,Normal,City,Car,梯度2:天气陷阱(图Snow文Heat),,
42,Logic_Trap,data/images/LW_002.jpg,一栋房子在雨中,1,0,0,1,None,Night,Snow,Street,Normal,City,Street,梯度2:天气陷阱(图Snow文Summer),,
43,Logic_Trap,data/images/LW_003.jpg,一朵乌云在天空中,1,0,0,1,None,Day,Snow,Forest,Normal,Nature,Road,梯度2:天气陷阱(图Snow文Summer),,
44,Logic_Trap,data/images/LW_004.jpg,阳光明媚的街道上车辆来来往往,1,0,0,1,None,Day,Rain,Indoor,Normal,City,Window,梯度2:天气陷阱(图Rain文Sunny),,
45,Logic_Trap,data/images/LW_005.jpg,风吹着海边的树，天空将要下雨,1,0,0,1,None,Day,Rain,Street,Crowded,City,Umbrella,梯度2:天气陷阱(图Rain文Dry),,
46,Logic_Trap,data/images/LW_006.jpg,绿色的草地和森林在阳光下,1,0,0,1,None,Night,Rain,City,Wet,City,Reflection,梯度2:天气陷阱(图Rain文Drought),,
47,Logic_Trap,data/images/time/LT_001.jpg,正午的阳光洒满街道，整个城市烈日当空。,1,0,0,1,None,Night,Clear,Street,Normal,City,Building,Type1_Time: Visual[Night] vs Text[Noon_Sun] - 强光影逻辑冲突,,
48,Logic_Trap,data/images/time/LT_002.jpg,时针指向凌晨两点，四周漆黑一片，只有微弱的月光透过窗帘。,1,0,0,1,None,Day,Sunny,Indoor,Normal,Interior,Room,Type1_Time: Visual[Day] vs Text[Midnight_Dark] - 昼夜反转冲突,,
49,Logic_Trap,data/images/time/LT_003.jpg,这是伸手不见五指的黑夜，宫殿里没有一丝光亮。,1,0,0,1,None,Day,Cloudy,Mountain,Normal,Nature,Mountain,Type1_Time: Visual[Day] vs Text[Pitch_Black] - 自然光照冲突,,
50,Logic_Trap,data/images/quantity/LN_001.jpg,有阴影的地上躺着好几只猫,1,0,0,1,None,Day,Indoor,Hall,Empty,Interior,Chairs,Type3_Fact: Visual[Empty_Hall] vs Text[Crowded/Full] - 场馆人数冲突,,
51,Logic_Trap,data/images/quantity/LN_002.jpg,著名的旅游胜地今天异常火爆，沙滩上人头攒动，几乎没有立足之地。,1,0,0,1,None,Day,Sunny,Beach,Empty,Nature,Sand,Type3_Fact: Visual[Empty_Beach] vs Text[Packed/Crowded] - 景区客流冲突,,
52,Logic_Trap,data/images/quantity/LN_003.jpg,春意盎然的季节，足球场里人满为患，充满了生机勃勃的气息。,1,0,0,1,None,Day,Cloudy,Park,Withered,Nature,Dead Plant,Type3_Fact: Visual[Withered] vs Text[Fresh/Spring] - 植物生命状态冲突,,
53,Logic_Trap,data/images/quantity/LN_004.jpg,这是一条繁华的商业街，车辆很多。,1,0,0,1,None,Day,Sunny,Square,Empty,City,Pavement,Type3_Fact: Visual[Empty_Square] vs Text[Gathering/Crowd] - 公共空间密度冲突,,
